0,131
1,0
2,305
3,158
4,0
5,1013
6,280
7,2214
8,146
9,238
10,591
11,53
12,162
13,1060
14,87
15,104
16,340
17,217
18,360
19,186
20,898
21,378
22,192
23,220
24,234
25,454
26,516
27,787
28,241
29,146
30,842
31,195
32,169
33,106
34,206
35,229
36,412
37,149
38,236
39,232
40,236
41,109
42,546
43,230
44,1790
45,254
46,992
47,371
48,249
49,638
50,163
51,232
52,961
53,183
54,153
55,825
56,0
57,1208
58,1095
59,436
60,45
61,90
62,339
63,832
64,56
65,4294
66,517
67,235
68,183
69,15
70,276
71,880
72,594
73,331
74,267
75,0
76,399
77,455
78,2058
79,216
80,255
81,220
82,484
83,0
84,204
85,222
86,166
87,85
88,448
89,201
90,1071
91,0
92,271
93,60
94,203
95,345
96,1703
97,207
98,214
99,168
100,950
101,184
102,22
103,212
104,241
105,854
106,475
107,1552
108,504
109,251
110,401
111,1850
112,138
113,199
114,911
115,230
116,242
117,1273
118,1743
119,218
120,61
121,659
122,221
123,1355
124,2023
125,483
126,130
127,475
128,710
129,40
130,1488
131,762
132,266
133,0
134,2985
135,783
136,266
137,632
138,775
139,1110
140,270
141,123
142,691
143,648
144,169
145,46
146,1855
147,207
148,87
149,967
150,78
151,441
152,308
153,1205
154,107
155,302
156,0
157,388
158,2593
159,22
160,182
161,20
162,90
163,0
164,382
165,377
166,1571
167,189
168,56
169,219
170,202
171,225
172,644
173,41
174,217
175,158
176,202
177,223
178,190
179,211
180,188
181,444
182,660
183,1362
184,241
185,267
186,265
187,322
188,746
189,91
190,821
191,223
192,216
193,217
194,215
195,434
196,144
197,650
198,0
199,301
200,25
201,267
202,2309
203,76
204,296
205,72
206,1627
207,816
208,798
209,207
210,242
211,862
212,158
213,710
214,1276
215,584
216,418
217,906
218,404
219,305
220,1047
221,609
222,131
223,0
224,148
225,302
226,146
227,238
228,280
229,591
230,162
231,53
232,1060
233,269
234,128
235,340
236,87
237,898
238,217
239,104
240,360
241,220
242,378
243,186
244,229
245,787
246,0
247,106
248,412
249,454
250,232
251,241
252,169
253,195
254,206
255,121
256,516
257,842
258,149
259,109
260,236
261,236
262,546
263,230
264,371
265,254
266,232
267,1790
268,249
269,992
270,1095
271,153
272,637
273,163
274,436
275,638
276,183
277,961
278,235
279,825
280,90
281,339
282,4294
283,1208
284,832
285,56
286,15
287,880
288,45
289,183
290,517
291,276
292,594
293,2058
294,267
295,455
296,0
297,251
298,399
299,331
300,220
301,255
302,448
303,201
304,216
305,484
306,0
307,345
308,85
309,0
310,166
311,1703
312,60
313,222
314,214
315,204
316,0
317,212
318,168
319,207
320,184
321,854
322,241
323,475
324,1552
325,22
326,504
327,401
328,1850
329,138
330,199
331,911
332,230
333,242
334,1273
335,218
336,1743
337,61
338,221
